44.78342,41.71677
44.78325,41.71685
44.784,41.71762
44.78405,41.71769
44.78464,41.71732
44.78483,41.71716
44.78486,41.71711
44.78487,41.71706
44.7849,41.71698
44.7849,41.71694
44.78489,41.71693
44.78488,41.7169
44.78482,41.71681
44.78446,41.71647
44.78443,41.71642
44.78442,41.71636
44.78444,41.71631
44.78446,41.71629
44.78451,41.71627
44.78463,41.71625
44.78486,41.71627
44.7852,41.71627
44.78529,41.71625
44.78536,41.71621
44.78552,41.71601
44.78556,41.71593
44.78547,41.71582
44.78372,41.71453
44.78351,41.71449
44.78281,41.71393
44.78269,41.71385
44.78242,41.71373
44.7822,41.71365
44.78204,41.71356
44.78202,41.71354
44.78199,41.71352
44.78195,41.71348
44.78191,41.71341
44.78188,41.71332
44.78188,41.71315
44.7819,41.71309
44.7819,41.71308
44.78197,41.71297
44.78215,41.71283
44.78223,41.71278
44.78235,41.71273
44.78252,41.71271
44.78256,41.71271
44.78262,41.71272
44.78268,41.71272
44.78291,41.71278
44.78298,41.71281
44.7832,41.71284
44.78353,41.71284
44.78372,41.71282
44.78445,41.71267
44.78447,41.71267
44.78555,41.71249
44.7861,41.71235
44.78775,41.71175
44.78833,41.71147
44.78852,41.71135
44.78877,41.71116
44.78948,41.70988
44.78964,41.70964
44.7898,41.70943
44.78998,41.70925
44.79002,41.7092
44.79101,41.70827
44.79344,41.70554
44.79386,41.70512
44.79404,41.70488
44.79418,41.70473
44.79461,41.70442
44.79585,41.70376
44.79683,41.70337
44.7971,41.70328
44.79826,41.70301
44.79893,41.70282
44.79932,41.70263
44.79966,41.70242
44.79977,41.70233
44.79987,41.70222
44.80025,41.7017
44.80044,41.70152
44.80425,41.69955
44.80459,41.69935
44.80475,41.69928
44.80533,41.69895
44.80546,41.69884
44.80595,41.69849
44.80661,41.69806
44.80706,41.69784
44.80748,41.69761
44.80749,41.69761
44.8075,41.6976
44.80753,41.6976
44.80753,41.69759
44.80754,41.69759
44.80763,41.69739
44.80768,41.6972
44.80785,41.69611
44.80786,41.69582
44.80778,41.69576
44.80775,41.69575
44.8077,41.69575
44.80764,41.69577
44.80758,41.69581
44.80723,41.69647
44.80721,41.69652
44.8072,41.69656
44.80721,41.69658
44.80721,41.6966
44.80724,41.69665
44.80725,41.69666
44.80728,41.69668
44.80728,41.69669
44.80734,41.69672
